child_name_raw,child_base,parent_name_raw,parent_base,parent_base_2000,province,year,law_number,date_raw,in_standardized,parent_in_standardized,notes
Kota Langsa,LANGSA,Kabupaten Aceh Timur,ACEH TIMUR,ACEH TIMUR,ACEH,2001,UU Nomor 3 Tahun 2001,21 Juni 2001,True,True,
Kota Lhokseumawe,LHOKSEUMAWE,Kabupaten Aceh Utara,ACEH UTARA,ACEH UTARA,ACEH,2001,UU Nomor 2 Tahun 2001,21 Juni 2001,True,True,
Kabupaten Aceh Barat Daya,ACEH BARAT DAYA,Kabupaten Aceh Selatan,ACEH SELATAN,ACEH SELATAN,ACEH,2002,UU Nomor 4 Tahun 2002,10 April 2002,True,True,
Kabupaten Aceh Jaya,ACEH JAYA,Kabupaten Aceh Barat,ACEH BARAT,ACEH BARAT,ACEH,2002,UU Nomor 4 Tahun 2002,10 April 2002,True,True,
Kabupaten Aceh Tamiang,ACEH TAMIANG,Kabupaten Aceh Timur,ACEH TIMUR,ACEH TIMUR,ACEH,2002,UU Nomor 4 Tahun 2002,10 April 2002,True,True,
Kabupaten Gayo Lues,GAYO LUES,Kabupaten Aceh Tenggara,ACEH TENGGARA,ACEH TENGGARA,ACEH,2002,UU Nomor 4 Tahun 2002,10 April 2002,True,True,
Kabupaten Nagan Raya,NAGAN RAYA,Kabupaten Aceh Barat,ACEH BARAT,ACEH BARAT,ACEH,2002,UU Nomor 4 Tahun 2002,10 April 2002,True,True,
Kabupaten Bener Meriah,BENER MERIAH,Kabupaten Aceh Tengah,ACEH TENGAH,ACEH TENGAH,ACEH,2003,UU Nomor 41 Tahun 2003,18 Desember 2003,True,True,
Kabupaten Pidie Jaya,PIDIE JAYA,Kabupaten Pidie,PIDIE,PIDIE,ACEH,2007,UU Nomor 7 Tahun 2007,2 Januari 2007,True,True,
Kota Subulussalam,SUBULUSSALAM,Kabupaten Aceh Singkil,ACEH SINGKIL,ACEH SINGKIL,ACEH,2007,UU Nomor 8 Tahun 2007,2 Januari 2007,True,True,
Kota Serang,SERANG,Kabupaten Serang,SERANG,SERANG,BANTEN,2007,UU Nomor 32 Tahun 2007,14 Agustus 2007,True,True,
Kota Tangerang Selatan,TANGERANG SELATAN,Kabupaten Tangerang,TANGERANG,TANGERANG,BANTEN,2008,UU Nomor 51 Tahun 2008,26 November 2008,True,True,
Kabupaten Kaur,KAUR,Kabupaten Bengkulu Selatan,BENGKULU SELATAN,BENGKULU SELATAN,BENGKULU,2003,UU Nomor 3 Tahun 2003,25 Februari 2003,True,True,
Kabupaten Kepahiang,KEPAHIANG,Kabupaten Rejang Lebong,REJANG LEBONG,REJANG LEBONG,BENGKULU,2003,UU Nomor 39 Tahun 2003,18 Desember 2003,True,True,
Kabupaten Lebong,LEBONG,Kabupaten Rejang Lebong,REJANG LEBONG,REJANG LEBONG,BENGKULU,2003,UU Nomor 39 Tahun 2003,18 Desember 2003,True,True,
Kabupaten Muko-Muko,MUKO-MUKO,Kabupaten Bengkulu Utara,BENGKULU UTARA,BENGKULU UTARA,BENGKULU,2003,UU Nomor 3 Tahun 2003,25 Februari 2003,True,True,
Kabupaten Seluma,SELUMA,Kabupaten Bengkulu Selatan,BENGKULU SELATAN,BENGKULU SELATAN,BENGKULU,2003,UU Nomor 3 Tahun 2003,25 Februari 2003,True,True,
Kabupaten Bengkulu Tengah,BENGKULU TENGAH,Kabupaten Bengkulu Utara,BENGKULU UTARA,BENGKULU UTARA,BENGKULU,2008,UU Nomor 24 Tahun 2008,21 Juli 2008,True,True,
Kabupaten Bone Bolango,BONE BOLANGO,Kabupaten Gorontalo,GORONTALO,GORONTALO,GORONTALO,2003,UU Nomor 6 Tahun 2003,25 Februari 2003,True,True,
Kabupaten Pohuwato,POHUWATO,Kabupaten Boalemo,BOALEMO,BOALEMO,GORONTALO,2003,UU Nomor 6 Tahun 2003,25 Februari 2003,True,True,
Kabupaten Gorontalo Utara,GORONTALO UTARA,Kabupaten Gorontalo,GORONTALO,GORONTALO,GORONTALO,2007,UU Nomor 11 Tahun 2007,2 Januari 2007,True,True,
Kota Sungai Penuh,SUNGAI PENUH,Kabupaten Kerinci,KERINCI,KERINCI,JAMBI,2008,UU Nomor 25 Tahun 2008,21 Juli 2008,True,True,
Kota Cimahi,CIMAHI,Kabupaten Bandung,BANDUNG,BANDUNG,JAWA BARAT,2001,UU Nomor 9 Tahun 2001,21 Juni 2001,True,True,
Kota Tasikmalaya,TASIKMALAYA,Kabupaten Tasikmalaya,TASIKMALAYA,TASIKMALAYA,JAWA BARAT,2001,UU Nomor 10 Tahun 2001,21 Juni 2001,True,True,
Kota Banjar,BANJAR,Kabupaten Ciamis,CIAMIS,CIAMIS,JAWA BARAT,2002,UU Nomor 27 Tahun 2002,25 Oktober 2002,True,True,
Kabupaten Bandung Barat,BANDUNG BARAT,Kabupaten Bandung,BANDUNG,BANDUNG,JAWA BARAT,2007,UU Nomor 12 Tahun 2007,2 Januari 2007,True,True,
Kabupaten Pangandaran,PANGANDARAN,Kabupaten Ciamis,CIAMIS,CIAMIS,JAWA BARAT,2012,UU Nomor 21 Tahun 2012,17 November 2012,True,True,
Kota Batu,BATU,Kabupaten Malang,MALANG,MALANG,JAWA TIMUR,2001,UU Nomor 11 Tahun 2001,21 Juni 2001,True,True,
Kota Singkawang,SINGKAWANG,Kabupaten Bengkayang,BENGKAYANG,BENGKAYANG,KALIMANTAN BARAT,2001,UU Nomor 12 Tahun 2001,21 Juni 2001,True,True,
Kabupaten Melawi,MELAWI,Kabupaten Sintang,SINTANG,SINTANG,KALIMANTAN BARAT,2003,UU Nomor 34 Tahun 2003,18 Desember 2003,True,True,
Kabupaten Sekadau,SEKADAU,Kabupaten Sanggau,SANGGAU,SANGGAU,KALIMANTAN BARAT,2003,UU Nomor 34 Tahun 2003,18 Desember 2003,True,True,
Kabupaten Kayong Utara,KAYONG UTARA,Kabupaten Ketapang,KETAPANG,KETAPANG,KALIMANTAN BARAT,2007,UU Nomor 6 Tahun 2007,2 Januari 2007,True,True,
Kabupaten Kubu Raya,KUBU RAYA,Kabupaten Pontianak,PONTIANAK,PONTIANAK,KALIMANTAN BARAT,2007,UU Nomor 35 Tahun 2007,14 Agustus 2007,True,True,
Kabupaten Balangan,BALANGAN,Kabupaten Hulu Sungai Utara,HULU SUNGAI UTARA,HULU SUNGAI UTARA,KALIMANTAN SELATAN,2003,UU Nomor 2 Tahun 2003,25 Februari 2003,True,True,
Kabupaten Tanah Bumbu,TANAH BUMBU,Kabupaten Kotabaru,KOTABARU,KOTABARU,KALIMANTAN SELATAN,2003,UU Nomor 2 Tahun 2003,25 Februari 2003,True,True,
Kabupaten Barito Timur,BARITO TIMUR,Kabupaten Barito Selatan,BARITO SELATAN,BARITO SELATAN,KALIMANTAN TENGAH,2002,UU Nomor 5 Tahun 2002,10 April 2002,True,True,
